pods,pods_ondemand,pods_spot,cpu_util,rps,p95,p99,cost_per_hr,evicted,slo_violation,reward,offered_rps,served_rps,t_s,policy,seed
8.0,2.0,6.0,0.19638388891167385,33.63918667529457,0.37109664025,0.19277867346563357,3.8,False,0.0,-3.8,42.6,33.63918667529457,3000.0,rl_homogeneous,0
10.0,3.0,7.0,0.1698698652614483,33.32388714035357,0.16415172254999996,0.19473228121277897,5.1,False,0.0,-5.1,38.7,33.32388714035357,3060.0,rl_homogeneous,0
10.0,3.0,7.0,0.14052164977993914,35.04915404549845,0.367429392,0.18987849317860575,5.1,False,0.0,-5.1,41.4,35.04915404549845,3120.0,rl_homogeneous,0
8.0,3.0,5.0,0.17622317015973132,37.53708328794128,0.20617565810000035,0.18872831056460118,4.5,False,0.0,-4.5,42.8,37.53708328794128,3180.0,rl_homogeneous,0
7.0,2.0,5.0,0.17332321568833406,32.03502021277974,0.34426946599999997,0.1961127014813315,3.5,False,0.0,-3.5,38.0,32.03502021277974,3240.0,rl_homogeneous,0
7.0,2.0,5.0,0.18983757904449897,30.79226244265181,0.23868993279999998,0.19586438725388425,3.5,False,0.0,-3.5,41.8,30.79226244265181,3300.0,rl_homogeneous,0
11.0,3.0,8.0,0.16755886458191713,35.11512198809758,0.11932473569999999,0.1954119879391082,5.4,False,0.0,-5.4,41.7,35.11512198809758,3360.0,rl_homogeneous,0
11.0,3.0,8.0,0.14214651382556343,36.155253475824026,0.1347543852999999,0.19266204052288188,5.4,False,0.0,-5.4,42.2,36.155253475824026,3420.0,rl_homogeneous,0
9.0,3.0,6.0,0.14547002255009225,29.20763556928855,0.152638238,0.19811910223271742,4.8,False,0.0,-4.8,37.5,29.20763556928855,3480.0,rl_homogeneous,0
7.0,2.0,5.0,0.18416773146941576,33.93086716003535,0.14914473379999998,0.19323633341530191,3.5,False,0.0,-3.5,38.6,33.93086716003535,3540.0,rl_homogeneous,0
