pods,pods_ondemand,pods_spot,cpu_util,rps,p95,p99,cost_per_hr,evicted,slo_violation,shortfall_frac,reward,offered_rps,served_rps,p95_client,t_s,policy,seed
13.0,13.0,0.0,0.12692776101659092,48.00101798775149,0.14939354800000001,0.19278571256098453,13.0,False,0,0.0,-14.362085948443587,47.0,48.00101798775149,0.14939354800000001,2460.0,rl_homogeneous,0
12.0,12.0,0.0,0.12685622314515105,50.80395435118374,0.13345923954999997,0.18994916072783197,12.0,False,0,0.0,-12.573951559729794,46.4,50.80395435118374,0.13345923954999997,2520.0,rl_homogeneous,0
11.0,11.0,0.0,0.15363749149148598,46.2535980070965,0.12021812400000001,0.19227155544532945,11.0,False,0,0.0,-11.485985754377486,44.9,46.2535980070965,0.12021812400000001,2580.0,rl_homogeneous,0
11.0,11.0,0.0,0.13717020509201877,44.48609672057658,0.156579631,0.19347177998459159,11.0,False,0,0.0,-12.292623424984688,43.5,44.48609672057658,0.156579631,2640.0,rl_homogeneous,0
11.0,11.0,0.0,0.12554225575915542,44.17627780497396,0.14057068,0.19315535416861368,11.0,False,0,0.0,-12.365075239068364,41.9,44.17627780497396,0.14057068,2700.0,rl_homogeneous,0
10.0,10.0,0.0,0.15860970656446444,49.062321586435225,0.1667936687999999,0.19460599036892645,10.0,False,0,0.0,-10.3,46.0,49.062321586435225,0.1667936687999999,2760.0,rl_homogeneous,0
10.0,10.0,0.0,0.17796328909440695,48.52781451068105,0.34089917559999994,0.19469742930551578,10.0,False,1,0.0,-10.961638589948535,47.0,48.52781451068105,0.34089917559999994,2820.0,rl_homogeneous,0
10.0,10.0,0.0,0.15527607059911872,49.9377285200107,0.14647914539999998,0.19095876568088418,10.0,False,0,0.0,-10.67714812023223,46.4,49.9377285200107,0.14647914539999998,2880.0,rl_homogeneous,0
11.0,11.0,0.0,0.15094555106279625,48.926718981790295,0.244697673,0.19456502675824844,11.0,False,1,0.0,-11.3,45.1,48.926718981790295,0.244697673,2940.0,rl_homogeneous,0
10.0,10.0,0.0,0.14775308021701372,43.91308411847807,0.14218279204999992,0.1959360403621768,10.0,False,0,0.0,-10.559277078195738,42.6,43.91308411847807,0.14218279204999992,3000.0,rl_homogeneous,0
9.0,9.0,0.0,0.1480233899842463,41.14728800918005,0.12475701904999999,0.1921326527631333,9.0,False,0,0.0,-10.606981197939223,38.7,41.14728800918005,0.12475701904999999,3060.0,rl_homogeneous,0
9.0,9.0,0.0,0.18083162326428226,43.51061105515382,0.27585511049999983,0.19190642660455512,9.0,False,1,0.0,-10.259740454035535,41.4,43.51061105515382,0.27585511049999983,3120.0,rl_homogeneous,0
10.0,10.0,0.0,0.16775372848800787,44.41414451484241,0.12869267869999998,0.19637471362632533,10.0,False,0,0.0,-10.839875822871495,42.8,44.41414451484241,0.12869267869999998,3180.0,rl_homogeneous,0
10.0,10.0,0.0,0.13429804037877652,40.781787346658874,0.14004675389999993,0.19276652692577154,10.0,False,0,0.0,-10.789119614098304,38.0,40.781787346658874,0.14004675389999993,3240.0,rl_homogeneous,0
9.0,9.0,0.0,0.15867490155566266,43.30219062422959,0.15542090000000006,0.19106427030906095,9.0,False,0,0.0,-10.38679934303014,41.8,43.30219062422959,0.15542090000000006,3300.0,rl_homogeneous,0
9.0,9.0,0.0,0.17885715591147655,42.82918109545474,0.16851574349999998,0.19556732019522396,9.0,False,0,0.0,-9.3,41.7,42.82918109545474,0.16851574349999998,3360.0,rl_homogeneous,0
9.0,9.0,0.0,0.1513601877605262,45.153137472420475,0.14389307825,0.19094369669112649,9.0,False,0,0.0,-9.411538496984518,42.2,45.153137472420475,0.14389307825,3420.0,rl_homogeneous,0
10.0,10.0,0.0,0.1297337162425294,39.244904621267565,0.13163297940000002,0.1903654700907404,10.0,False,0,0.0,-10.701992447094828,37.5,39.244904621267565,0.13163297940000002,3480.0,rl_homogeneous,0
9.0,9.0,0.0,0.134304258890336,39.81397802499495,0.11862586075,0.19180766274381614,9.0,False,0,0.0,-9.37254931807676,38.6,39.81397802499495,0.11862586075,3540.0,rl_homogeneous,0
