seed,policy,viol_rate,p95_max,cost_hr,pods_mean,spot_frac,sf_rate,evict_count,post_evict_p95,post_evict_sf
17,naive_spot,0.36666666666666664,0.6369105290603223,5.283333333333333,7.75,0.5161290322580645,0.03455536778388705,5,0.35474166035085075,0.13690851735015772
17,rl_homogeneous,0.3333333333333333,0.6036293436278668,8.383333333333333,8.2,0.0,0.03455536778388705,0,,
17,rl_spot,0.45,3.5,2.92,6.283333333333333,0.806366047745358,0.034855803415552965,5,1.168989218112062,0.14051374493014873
18,hpa_ondemand,0.43333333333333335,1.1263033854402447,8.0,8.0,0.0,0.048118334384962116,0,,
18,naive_spot,0.43333333333333335,1.1263033854402447,5.25,7.85,0.5095541401273885,0.048118334384962116,3,0.4338051941511769,0.0
18,rl_homogeneous,0.43333333333333335,1.2094905784994678,8.0,7.916666666666667,0.0,0.048118334384962116,0,,
18,rl_spot,0.5666666666666667,3.5,2.478333333333334,6.516666666666667,0.9181585677749361,0.050138315690423596,3,2.4639124579659697,0.031550068587105635
19,hpa_ondemand,0.45,0.6457762202446714,8.0,8.0,0.0,0.024090134824170786,0,,
19,naive_spot,0.4666666666666667,0.6457762202446714,5.266666666666667,7.8,0.5128205128205129,0.024090134824170786,5,0.19366817357405336,0.0
19,rl_homogeneous,0.45,0.6457762202446714,8.416666666666666,8.233333333333333,0.0,0.024090134824170786,0,,
19,rl_spot,0.5666666666666667,3.5,2.8133333333333335,6.4,0.8489583333333334,0.02480558351372593,5,1.627788768003985,0.002247191011235955
20,hpa_ondemand,0.4,0.6881578202398658,8.0,8.0,0.0,0.03460130567949919,0,,
20,naive_spot,0.4166666666666667,0.6881578202398658,5.233333333333333,7.9,0.5063291139240506,0.03460130567949919,2,0.2363565554467738,0.0
20,rl_homogeneous,0.4,0.6881578202398658,8.216666666666667,8.033333333333333,0.0,0.03460130567949919,0,,
20,rl_spot,0.48333333333333334,0.758650177241181,2.4266666666666676,6.566666666666666,0.9187817258883249,0.03460130567949919,2,0.2565481272782494,0.0
21,hpa_ondemand,0.43333333333333335,0.7229444395860333,8.0,8.0,0.0,0.03783664886254457,0,,
21,naive_spot,0.43333333333333335,0.7229444395860333,5.233333333333333,7.9,0.5063291139240506,0.03783664886254457,2,0.2951283344812037,0.0
21,rl_homogeneous,0.43333333333333335,0.7229444395860333,8.4,8.233333333333333,0.0,0.03783664886254457,0,,
21,rl_spot,0.5333333333333333,0.7229444395860333,2.5416666666666674,6.716666666666667,0.9057071960297766,0.03783664886254457,2,0.4044944160320384,0.0
22,hpa_ondemand,0.5333333333333333,0.7175956573773147,8.0,8.0,0.0,0.03317320135127602,0,,
22,naive_spot,0.55,0.7175956573773147,5.266666666666667,7.8,0.5128205128205129,0.03317320135127602,4,0.5468101205983141,0.0
22,rl_homogeneous,0.5333333333333333,0.7514362242025403,8.5,8.233333333333333,0.0,0.03317320135127602,0,,
22,rl_spot,0.6,3.5,2.6266666666666665,5.883333333333334,0.8271954674220962,0.03677894391885973,4,1.3460577257528799,0.0
23,hpa_ondemand,0.43333333333333335,1.0574266767213722,8.0,8.0,0.0,0.04275471883599545,0,,
23,naive_spot,0.43333333333333335,1.0574266767213722,5.233333333333333,7.9,0.5063291139240506,0.04275471883599545,2,0.5509910295735257,0.0
23,rl_homogeneous,0.43333333333333335,3.5,8.516666666666667,8.233333333333333,0.0,0.04309572480359988,0,,
23,rl_spot,0.4666666666666667,3.5,2.6116666666666672,6.766666666666667,0.8842364532019704,0.044121115854890945,2,0.668603691197085,0.0
24,hpa_ondemand,0.4166666666666667,0.7685266329865077,8.0,8.0,0.0,0.06290126259124161,0,,
24,naive_spot,0.4166666666666667,0.7685266329865077,5.233333333333333,7.9,0.5063291139240506,0.06290126259124161,2,0.320649522478185,0.0
24,rl_homogeneous,0.43333333333333335,0.7685266329865077,8.45,8.266666666666667,0.0,0.06290126259124161,0,,
24,rl_spot,0.43333333333333335,0.7685266329865077,2.5916666666666677,6.766666666666667,0.8990147783251231,0.06290126259124161,2,0.3666090842383188,0.0
